_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
447,Friday2,2021-07-23T00:00:00,F,0,F,0,0
448,Friday2,2021-07-30T00:00:00,F,F,0,F,0
449,Friday2,2021-08-06T00:00:00,F,0,F,0,0
450,Friday2,2021-08-13T00:00:00,F,F,0,F,0
451,Friday2,2021-08-20T00:00:00,F,0,F,0,0
452,Friday2,2021-08-27T00:00:00,F,F,0,F,0
453,Friday2,2021-09-03T00:00:00,F,0,F,0,0
454,Friday2,2021-09-10T00:00:00,F,F,0,F,0
455,Friday2,2021-09-17T00:00:00,F,0,F,0,0
456,Friday2,2021-09-24T00:00:00,F,F,0,F,0
457,Friday2,2021-10-01T00:00:00,F,0,F,0,0
458,Friday2,2021-10-08T00:00:00,F,F,0,F,0
459,Friday2,2021-10-15T00:00:00,F,0,F,0,0
460,Friday2,2021-10-22T00:00:00,F,F,0,F,0
461,Friday2,2021-10-29T00:00:00,F,0,F,0,0
462,Friday2,2021-11-05T00:00:00,F,F,0,F,0
463,Friday2,2021-11-12T00:00:00,F,0,F,0,0
464,Friday2,2021-11-19T00:00:00,F,F,0,F,0
465,Friday2,2021-11-26T00:00:00,F,0,F,0,0
466,Friday2,2021-12-03T00:00:00,F,F,0,F,0
467,Friday2,2021-12-10T00:00:00,F,0,F,0,0
468,Friday2,2021-12-17T00:00:00,F,F,0,F,0
469,Friday2,2021-12-24T00:00:00,F,0,F,0,0
470,Friday2,2021-12-31T00:00:00,F,F,0,0,0
