_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
3004,6429,LR-13307,1155,College St,College St,South,Sheridan Ave,West,09677,09,College West,WR2,Existing,L1809677,,"{""coordinates"": [[-79.4347531963826, 43.6520453718078]], ""type"": ""MultiPoint""}"
3005,6430,LR-07707,4926,Bathurst St,Finch Ave W,South,Bathurst St,West,04950,06,None,WR2,Existing,L1004950,,"{""coordinates"": [[-79.4435684520902, 43.7736375400415]], ""type"": ""MultiPoint""}"
3006,6431,LR-07709,715,Finch Ave W,Finch Ave W,South,Dufferin St,East,00861,06,None,WR2,Existing,L1000861,,"{""coordinates"": [[-79.4624983117408, 43.7696987200296]], ""type"": ""MultiPoint""}"
3007,6432,LR-07710,None,None,Finch Ave W,North,Wilmington Ave,East,04935,06,None,WR2,Existing,L1004935,,"{""coordinates"": [[-79.4604679381393, 43.7704301011256]], ""type"": ""MultiPoint""}"
3008,6433,LR-07714,569,Sheppard Ave W,Sheppard Ave W,South,Bathurst St,East,00867,06,None,WR2,Existing,L1000867,,"{""coordinates"": [[-79.437937150134, 43.7553843041367]], ""type"": ""MultiPoint""}"
3009,6434,LR-07715,1050,Sheppard Ave W,Sheppard Ave W,North,Dufferin St,East,00866,06,None,WR2,Existing,L1000866,,"{""coordinates"": [[-79.4626431754768, 43.7505835032309]], ""type"": ""MultiPoint""}"
3010,6435,LR-07724,1303,Steeles Ave W,Steeles Ave W,South,Torresdale Ave,West,00872,06,None,WR1,Existing,L1000872,,"{""coordinates"": [[-79.4533414147421, 43.7906431629872]], ""type"": ""MultiPoint""}"
3011,6436,LR-07726,219,Wilmington Ave,Wilmington Ave,East,Overbrook Pl,South,05156,06,None,WR1,Existing,L1005156,,"{""coordinates"": [[-79.4566623775312, 43.7625909281233]], ""type"": ""MultiPoint""}"
3012,6437,LR-07728,286,Wilson Ave,Wilson Ave,North,Bathurst St,West,879,06,None,WR2,Existing,L1000879,,"{""coordinates"": [[-79.434516733872, 43.7374296639096]], ""type"": ""MultiPoint""}"
3013,6438,LR-07736,3651,Eglinton Ave W,Eglinton Ave W,South,Jane St,East,04376,05,None,WR2,Existing,L1104376,,"{""coordinates"": [[-79.498173362948, 43.6844981206253]], ""type"": ""MultiPoint""}"
3014,6440,LR-07741,895,Jane St,Jane St,East,Black Creek Blvd,South,03572,05,None,WR2,Existing,L1103572,,"{""coordinates"": [[-79.4958752329848, 43.677015197051]], ""type"": ""MultiPoint""}"
3015,6441,LR-07744,1196,Jane St,Jane St,West,Goldwin Ave,South,03567,05,None,WR2,Existing,L1103567,,"{""coordinates"": [[-79.5004719300252, 43.6890994927019]], ""type"": ""MultiPoint""}"
3016,6442,LR-07745,10,Haney Ave,Jane St,West,Haney Ave,North,00896,05,None,WR2,Existing,L1100896,,"{""coordinates"": [[-79.4949450215743, 43.6741724073661]], ""type"": ""MultiPoint""}"
3017,6443,LR-07752,1690A,Jane St,Lawrence Ave W,North,Jane St,West,04264,05,None,WR2,Existing,L1104264,,"{""coordinates"": [[-79.5042200104629, 43.7029638764131]], ""type"": ""MultiPoint""}"
3018,6444,LR-07754,1,Lawrence Ave W,Lawrence Ave W,North,South Station St,West,04207,05,Weston Village,WR1,Existing,L1104207,,"{""coordinates"": [[-79.515571115577, 43.7003855391788]], ""type"": ""MultiPoint""}"
3019,6445,LR-07757,2461,St Clair Ave W,Runnymede Rd,East,St Clair Ave W,South,T7068,05,None,WR1,Existing,L1107068,,"{""coordinates"": [[-79.4833166491127, 43.668692319351]], ""type"": ""MultiPoint""}"
3020,6446,LR-07758,250,Scarlett Rd,Scarlett Rd,West,East Dr,North,04477,05,None,WR2,Existing,L1104477,,"{""coordinates"": [[-79.506241907154, 43.6770312134123]], ""type"": ""MultiPoint""}"
3021,6455,LR-06651,4304,Lawrence Ave E,Lawrence Ave E,North,Manse Rd,East,03467,25,None,WR2,Existing,L4403467,,"{""coordinates"": [[-79.1768430102494, 43.7705951050448]], ""type"": ""MultiPoint""}"
3022,6456,LR-06658,2371,Warden Ave,Huntingwood Dr,East,Warden Ave,South,03932,22,None,WR2,Existing,L4003932,,"{""coordinates"": [[-79.31020349009, 43.7855830474804]], ""type"": ""MultiPoint""}"
3023,6457,LR-06686,10,Yonge St,Yonge St,West,Harbour St,South,05023,10,The Waterfront,WR1,Existing,L2805023,,"{""coordinates"": [[-79.3754608145873, 43.6429832755919]], ""type"": ""MultiPoint""}"
3024,6460,LR-06757,139,Dundas St W,Dundas St W,South,Elizabeth St,East,06574,10,None,WR2,Existing,L2706574,,"{""coordinates"": [[-79.3849556742009, 43.6553905404655]], ""type"": ""MultiPoint""}"
3025,6463,LR-14269,7,Field Sparroway,Finch Ave E,North,Leslie St,West,11105,17,None,WR1,Existing,L2411105,,"{""coordinates"": [[-79.3691130001361, 43.7901738601934]], ""type"": ""MultiPoint""}"
3026,6464,LR-14712,2,Burton Rd,Spadina Rd,West,Burton Rd,North,11491,12,None,WR1,Existing,L2111491,,"{""coordinates"": [[-79.4145792935371, 43.6930127283339]], ""type"": ""MultiPoint""}"
3027,6465,LR-14723,3390,St Clair Ave E,St Clair Ave E,North,Pengelly Crt,West,11514,20,None,WR1,Existing,L3511514,,"{""coordinates"": [[-79.2762814780346, 43.7132699993959]], ""type"": ""MultiPoint""}"
3028,6466,LR-14737,800,Bay St,Bay St,West,Grenville St,South,11525,11,None,WR2,Existing,L2711525,,"{""coordinates"": [[-79.3861719133783, 43.6613697871104]], ""type"": ""MultiPoint""}"
3029,6468,LR-09829,2547,Kipling Ave,Kipling Ave,East,Panorama Crt,South,06084,01,None,WR1,Existing,L0106084,,"{""coordinates"": [[-79.5834024735003, 43.7464915161886]], ""type"": ""MultiPoint""}"
3030,6469,LR-09844,2026,Weston Rd,Weston Rd,West,King Street Cres,North,03676,05,Weston Village,WR2,Existing,L1103676,,"{""coordinates"": [[-79.5211167936803, 43.7014194365207]], ""type"": ""MultiPoint""}"
3031,6470,LR-12611,22,Relmar Rd,Spadina Rd,West,Strathearn Blvd,South,08738,12,Forest Hill Village,WR2,Existing,L2108738,,"{""coordinates"": [[-79.4136491143724, 43.6907754056117]], ""type"": ""MultiPoint""}"
3032,6471,LR-12633,377,Dundas St W,Dundas St W,South,Beverley St,West,08774,10,Chinatown,WR2,Temporarily Removed,L2008774,,"{""coordinates"": [[-79.394132491609, 43.6536657557511]], ""type"": ""MultiPoint""}"
3033,6472,LR-10205,223,Eglinton Ave E,Eglinton Ave E,South,Mount Pleasant Rd,West,03760,12,Mount Pleasant Village,WR2,Temporarily Removed,L2203760,,"{""coordinates"": [[-79.390489564545, 43.7082394581447]], ""type"": ""MultiPoint""}"
3034,6473,LR-08106,1865,Davenport Rd,Davenport Rd,South,Symington Ave,West,04676,09,None,WR2,Existing,L1704676,,"{""coordinates"": [[-79.4535321954254, 43.6705963259254]], ""type"": ""MultiPoint""}"
3035,6478,LR-13970,1,Canada Blvd,Strachan Ave,West,Manitoba Dr,South,10610,10,None,WR2,Existing,L1910610,,"{""coordinates"": [[-79.4096260528809, 43.6360008777989]], ""type"": ""MultiPoint""}"
3036,6502,LR-07288,4201,Bloor St W,Bloor St W,South,The West Mall,West,00159,02,None,WR2,Existing,L0300159,,"{""coordinates"": [[-79.5627335430132, 43.6354033146339]], ""type"": ""MultiPoint""}"
3037,6512,LR-13819,111,North Dr,Royal York Rd,East,North Dr,North,10261,02,None,WR1,Existing,L0410261,,"{""coordinates"": [[-79.5242420741603, 43.6771590263862]], ""type"": ""MultiPoint""}"
3038,6513,LR-13826,20,Fordwich Cres,Islington Ave,West,Fordwich Cres,North,10268,01,None,WR2,Existing,L0210268,,"{""coordinates"": [[-79.561003102042, 43.727257906827]], ""type"": ""MultiPoint""}"
3039,6514,LR-13827,3035,Islington Ave,Islington Ave,East,Millwick Dr,South,10269,07,None,WR1,Existing,L0710269,,"{""coordinates"": [[-79.5714840037257, 43.7598662542324]], ""type"": ""MultiPoint""}"
3040,6515,LR-13828,None,None,Islington Ave,East,Vanhill Ave,South,10270,07,Emery Village,WR2,Temporarily Removed,L0710270,,"{""coordinates"": [[-79.5695425585044, 43.7570894416665]], ""type"": ""MultiPoint""}"
3041,6516,LR-13834,1700,Ormont Dr,Barmac Dr,West,Ormont Dr,North,10276,07,Emery Village,WR1,Existing,L0710276,,"{""coordinates"": [[-79.5534292180677, 43.7645687345253]], ""type"": ""MultiPoint""}"
3042,6517,LR-13837,None,None,Steeles Ave W,North,Irondale Dr,East,10279,07,None,WR1,Existing,L0710279,,"{""coordinates"": [[-79.5492521649717, 43.7698997483084]], ""type"": ""MultiPoint""}"
3043,6518,LR-13843,5,Shady Golfway,Linkwood Lane,East,St Dennis Dr,South,10379,16,None,WR1,Existing,L2610379,,"{""coordinates"": [[-79.3262843962831, 43.7175806966458]], ""type"": ""MultiPoint""}"
3044,6519,LR-13844,1057,Don Mills Rd,Don Mills Rd,East,The Donway E,North,10377,16,None,WR1,Existing,L3410377,,"{""coordinates"": [[-79.3424275686813, 43.7341419705827]], ""type"": ""MultiPoint""}"
3045,6520,LR-13845,None,None,Gervais Dr,West,Wynford Dr,South,10378,16,None,WR1,Existing,L2610378,,"{""coordinates"": [[-79.3364992806204, 43.7231298763969]], ""type"": ""MultiPoint""}"
3046,6521,LR-13847,None,None,York Mills Rd,North,Lochinvar Cres,East,10375,16,None,WR2,Existing,L3410375,,"{""coordinates"": [[-79.338816426937, 43.757718679738]], ""type"": ""MultiPoint""}"
3047,6522,LR-13850,845,Avenue Rd,Avenue Rd,East,Chaplin Cres,South,10335,12,None,WR3,Existing,L2210335,,"{""coordinates"": [[-79.4056900912111, 43.6980733398129]], ""type"": ""MultiPoint""}"
3048,6523,LR-13852,131,Oriole Pkwy,Oriole Pkwy,East,Frobisher Ave,South,10337,12,None,WR3,Existing,L2210337,,"{""coordinates"": [[-79.4028126685206, 43.697152051278]], ""type"": ""MultiPoint""}"
3049,6524,LR-13855,2021,Yonge St,Yonge St,East,Glebe Rd E,North,10341,12,Midtown Yonge,WR2,Existing,L2210341,,"{""coordinates"": [[-79.3971041134165, 43.7013018315509]], ""type"": ""MultiPoint""}"
3050,6525,LR-13859,441,Mount Pleasant Rd,Balliol St,North,Mount Pleasant Rd,East,10348,15,None,WR1,Existing,L2210348,,"{""coordinates"": [[-79.3864985257375, 43.6994095977089]], ""type"": ""MultiPoint""}"
3051,6526,LR-14159,202,Searle Ave,Searle Ave,North,Wilmington Ave,West,T3186,06,None,WR3,Existing,L1003186,,"{""coordinates"": [[-79.4547878606613, 43.7574779143615]], ""type"": ""MultiPoint""}"
3052,6527,LR-14161,None,None,Renforth Dr,North,Eglinton Ave W,East,T8069,02,None,WR2,Existing,L0308069,,"{""coordinates"": [[-79.5870723795687, 43.6660676847609]], ""type"": ""MultiPoint""}"
3053,6528,LR-14162,310,Humberline Dr,Humberline Dr,West,Claireville Dr,North,X50S,01,None,WR1,Existing,L010X50S,,"{""coordinates"": [[-79.6196126280976, 43.7407525083785]], ""type"": ""MultiPoint""}"
3054,6529,LR-14164,None,None,Birchmount Rd,East,Allanford Rd,South,T463,21,None,WR1,Existing,L4000463,,"{""coordinates"": [[-79.2938544560699, 43.7717762902602]], ""type"": ""MultiPoint""}"
3055,6531,LR-14174,1,Charles St E,Charles St E,South,Yonge St,East,11012,13,Bloor-Yorkville,WR4,Existing,L2711012,,"{""coordinates"": [[-79.3857994861575, 43.6686585005853]], ""type"": ""MultiPoint""}"
3056,6533,LR-14182,3559,St Clair Ave E,Kennedy Rd,West,St Clair Ave E,South,10988,20,None,WR2,Existing,L3510988,,"{""coordinates"": [[-79.2615117139657, 43.716333626066]], ""type"": ""MultiPoint""}"
3057,6534,LR-14190,1140,Kingston Rd,Kingston Rd,North,Blantyre Ave,East,T4209,20,None,WR2,Existing,L3604209,,"{""coordinates"": [[-79.2811817407722, 43.6816346259845]], ""type"": ""MultiPoint""}"
3058,6535,LR-14193,120,Roncesvalles Ave,Roncesvalles Ave,West,Galley Ave,North,11056,04,Roncesvalles Village,WR4,Existing,L1411056,,"{""coordinates"": [[-79.4478418210213, 43.6429505241214]], ""type"": ""MultiPoint""}"
3059,6537,LR-14198,1493,Finch Ave W,Finch Ave W,South,Sentinel Rd,East,T9821,07,None,WR2,Temporarily Removed,L0809821,,"{""coordinates"": [[-79.4993167107035, 43.7610498222041]], ""type"": ""MultiPoint""}"
3060,6538,LR-14200,100,Norfinch Dr,Norfinch Dr,West,Finch Ave W,North,11063,07,None,WR2,Existing,L0811063,,"{""coordinates"": [[-79.5290167425581, 43.7596320634433]], ""type"": ""MultiPoint""}"
3061,6539,LR-14202,601,Ormont Dr,Ormont Dr,South,Barmac Dr,West,11065,07,Emery Village,WR1,Existing,L0711065,,"{""coordinates"": [[-79.5475949738421, 43.7647419752905]], ""type"": ""MultiPoint""}"
3062,6540,LR-14209,845,Wilson Ave,Wilson Ave,South,Lady York Ave,West,11072,06,Wilson Village,WR4,Existing,L0911072,,"{""coordinates"": [[-79.4648610110252, 43.7309737202916]], ""type"": ""MultiPoint""}"
3063,6541,LR-14210,123,Coxwell Ave,Coxwell Ave,East,Robbins Ave,South,11060,19,None,WR3,Existing,L3211060,,"{""coordinates"": [[-79.3178871107959, 43.6697531658995]], ""type"": ""MultiPoint""}"
3064,6542,LR-12516,2,Greyhound Dr,Leslie St,West,Greyhound Dr,South,08588,17,None,WR2,Existing,L2408588,,"{""coordinates"": [[-79.3686665697961, 43.7921135703108]], ""type"": ""MultiPoint""}"
3065,6543,LR-12517,23,Mango Dr,Finch Ave E,North,Tollerton Ave,East,08589,17,None,WR2,Existing,L2408589,,"{""coordinates"": [[-79.3845881628129, 43.7868202279682]], ""type"": ""MultiPoint""}"
3066,6559,LR-05871,169,Berry Rd,Berry Rd,South,Stephen Dr,West,03831,03,None,WR2,Existing,L0503831,,"{""coordinates"": [[-79.4874824244024, 43.6373566789078]], ""type"": ""MultiPoint""}"
3067,6560,LR-05874,5200,Finch Ave W,Kipling Ave,West,Finch Ave W,North,03992,01,None,WR2,Existing,L0103992,,"{""coordinates"": [[-79.5824828881668, 43.7433414354535]], ""type"": ""MultiPoint""}"
3068,6561,LR-06868,9548,Sheppard Ave E,Meadowvale Rd Trl,West,Sheppard Ave E,North,06882,25,None,WR1,Existing,L4206882,,"{""coordinates"": [[-79.1710734985682, 43.8085925357007]], ""type"": ""MultiPoint""}"
3069,6562,LR-06869,9940,Sheppard Ave E,Meadowvale Rd Trl,East,Sheppard Ave E,North,06883,25,None,WR1,Existing,L4206883,,"{""coordinates"": [[-79.1708820242027, 43.8089098584739]], ""type"": ""MultiPoint""}"
3070,6563,LR-06877,2210,Lawrence Ave E,Lawrence Ave E,South,Canlish Rd,Opposite,06891,21,None,WR2,Existing,L3706891,,"{""coordinates"": [[-79.2813715088152, 43.7480735590712]], ""type"": ""MultiPoint""}"
3071,6564,LR-06890,4384,Kingston Rd,Lawrence Ave E,South,Kingston Rd,West,06905,24,None,WR2,Existing,L4306905,,"{""coordinates"": [[-79.1906521089141, 43.767282747068]], ""type"": ""MultiPoint""}"
3072,6565,LR-06892,4205,Lawrence Ave E,Morningside Ave,East,Lawrence Ave E,South,06907,25,None,WR2,Existing,L4406907,,"{""coordinates"": [[-79.1859964298499, 43.7681268546406]], ""type"": ""MultiPoint""}"
3073,6567,LR-06901,3818,Lawrence Ave E,Lawrence Ave E,North,Susan St,West,06957,24,None,WR2,Existing,L4306957,,"{""coordinates"": [[-79.209142798284, 43.7634623590634]], ""type"": ""MultiPoint""}"
3074,6568,LR-06902,3750,Lawrence Ave E,Lawrence Ave E,North,Scarborough Golf Club Rd,East,06958,24,None,WR2,Existing,L4306958,,"{""coordinates"": [[-79.2154109896873, 43.7620931269951]], ""type"": ""MultiPoint""}"
